sample_id	chrom	start	end	cn_a	cn_b
2_S1_C10	chr17	37994705	80950489	2	0
2_S1_C10	chr18	1	13869915	2	0
2_S1_C10	chr18	14119915	77797547	2	2
2_S1_C10	chr19	1	16309276	3	0
2_S1_C10	chr19	16559276	18965829	5	2
2_S1_C10	chr19	19215829	24113813	3	2
2_S1_C10	chr19	24363813	58800333	2	2
2_S1_C10	chr20	1	25388095	2	2
2_S1_C10	chr20	25638095	62119280	2	2
2_S1_C10	chr21	1	47879225	2	1
2_S1_C10	chr22	1	50727844	2	0
2_S1_C10	chrX	2589197	45662873	2	0
2_S1_C10	chrX	45912873	58100939	3	0
2_S1_C10	chrX	69769132	154938160	2	0
2_S1_C101	chr1	1	20033345	2	0
2_S1_C101	chr1	20283345	104371959	2	2
2_S1_C101	chr1	104621959	118054841	2	0
2_S1_C101	chr1	118304841	120291655	4	2
2_S1_C101	chr1	120541655	188974205	5	2
2_S1_C101	chr1	189224205	248234141	3	2
2_S1_C101	chr2	1	20566626	4	3
2_S1_C101	chr2	20816626	22517503	3	2
2_S1_C101	chr2	22767503	82241544	2	1
2_S1_C101	chr2	82491544	89074867	2	1
2_S1_C101	chr2	89324867	196111610	2	1
2_S1_C101	chr2	196361610	242637536	1	1
2_S1_C101	chr3	1	89999669	2	0
2_S1_C101	chr3	90249669	197339330	2	1
2_S1_C101	chr4	1	8680548	2	0
2_S1_C101	chr4	8930548	48806634	2	0
2_S1_C101	chr4	49056634	80783051	2	2
2_S1_C101	chr4	81033051	163584523	2	2
2_S1_C101	chr4	163834523	190845177	4	2
2_S1_C101	chr5	1	1482027	4	1
2_S1_C101	chr5	1732027	45951245	2	2
2_S1_C101	chr5	46201245	159987445	2	0
2_S1_C101	chr5	160237445	180599194	4	0
2_S1_C101	chr6	1	40753750	2	2
2_S1_C101	chr6	41003750	46943077	2	2
2_S1_C101	chr6	47193077	57484444	2	2
2_S1_C101	chr6	57734444	95211510	2	2
2_S1_C101	chr6	95461510	158711367	2	2
2_S1_C101	chr6	158961367	170483369	4	2
2_S1_C101	chr7	1	2566124	3	2
2_S1_C101	chr7	2816124	52793484	2	2
2_S1_C101	chr7	53043484	57344929	3	1
2_S1_C101	chr7	57594929	78997265	2	2
2_S1_C101	chr7	79247265	99384835	4	2
2_S1_C101	chr7	99634835	158953939	5	3
2_S1_C101	chr8	1	43464189	2	2
2_S1_C101	chr8	43714189	146232982	2	2
2_S1_C101	chr9	1	38455271	2	0
2_S1_C101	chr9	38705271	77484350	2	0
2_S1_C101	chr9	77734350	91201591	2	0
2_S1_C101	chr9	92318713	95194848	2	0
2_S1_C101	chr9	95444848	110089204	2	0
2_S1_C101	chr9	110339204	126253465	2	0
2_S1_C101	chr9	126503465	136798467	2	0
2_S1_C101	chr9	137048467	140652749	2	0
2_S1_C101	chr10	1	25935893	4	2
2_S1_C101	chr10	26185893	38238878	3	2
2_S1_C101	chr10	38488878	107406270	3	1
2_S1_C101	chr10	107656270	134971887	2	1
2_S1_C101	chr11	1	50467823	2	2
2_S1_C101	chr11	50717823	103641583	2	2
2_S1_C101	chr11	103891583	134714034	2	2
2_S1_C101	chr12	1	8895671	8	2
2_S1_C101	chr12	9145671	25168152	4	2
2_S1_C101	chr12	25418152	32876402	2	2
2_S1_C101	chr12	33126402	34541833	2	2
2_S1_C101	chr12	34791833	133124839	2	0
2_S1_C101	chr13	1	115048768	2	0
2_S1_C101	chr14	1	91377936	2	2
2_S1_C101	chr14	91627936	96629947	2	0
2_S1_C101	chr14	96879947	107118565	1	1
2_S1_C101	chr15	1	102279257	2	0
2_S1_C101	chr16	1	34866227	2	1
2_S1_C101	chr16	35116227	60796920	2	1
2_S1_C101	chr16	61046920	90104086	2	1
2_S1_C101	chr17	1	20917988	2	0
2_S1_C101	chr17	22037717	37744705	2	0
2_S1_C101	chr17	37994705	80950489	2	0
2_S1_C101	chr18	1	13869915	2	0
2_S1_C101	chr18	14119915	77797547	2	2
2_S1_C101	chr19	1	16309276	2	0
2_S1_C101	chr19	16559276	18965829	5	2
2_S1_C101	chr19	19215829	24113813	3	2
2_S1_C101	chr19	24363813	58800333	3	2
2_S1_C101	chr20	1	25388095	2	2
2_S1_C101	chr20	25638095	62119280	2	2
2_S1_C101	chr21	1	47879225	2	1
2_S1_C101	chr22	1	50727844	2	0
2_S1_C101	chrX	2589197	45662873	2	0
2_S1_C101	chrX	45912873	58100939	2	0
2_S1_C101	chrX	69769132	154938160	2	0
2_S1_C102	chr1	1	20033345	2	0
2_S1_C102	chr1	20283345	104371959	3	2
2_S1_C102	chr1	104621959	118054841	2	0
2_S1_C102	chr1	118304841	120291655	8	3
2_S1_C102	chr1	120541655	188974205	8	0
2_S1_C102	chr1	189224205	248234141	2	1
2_S1_C102	chr2	1	20566626	4	4
2_S1_C102	chr2	20816626	22517503	3	2
2_S1_C102	chr2	22767503	82241544	2	2
2_S1_C102	chr2	82491544	89074867	2	2
2_S1_C102	chr2	89324867	196111610	2	2
2_S1_C102	chr2	196361610	242637536	2	1
2_S1_C102	chr3	1	89999669	2	0
2_S1_C102	chr3	90249669	197339330	2	2
2_S1_C102	chr4	1	8680548	2	0
2_S1_C102	chr4	8930548	48806634	2	0
2_S1_C102	chr4	49056634	80783051	3	1
2_S1_C102	chr4	81033051	163584523	3	1
2_S1_C102	chr4	163834523	190845177	3	3
2_S1_C102	chr5	1	1482027	3	2
2_S1_C102	chr5	1732027	45951245	2	2
2_S1_C102	chr5	46201245	159987445	2	0
2_S1_C102	chr5	160237445	180599194	4	0
2_S1_C102	chr6	1	40753750	2	2
2_S1_C102	chr6	41003750	46943077	2	2
2_S1_C102	chr6	47193077	57484444	2	2
2_S1_C102	chr6	57734444	95211510	2	2
2_S1_C102	chr6	95461510	158711367	2	2
2_S1_C102	chr6	158961367	170483369	4	2
2_S1_C102	chr7	1	2566124	3	2
2_S1_C102	chr7	2816124	52793484	2	2
2_S1_C102	chr7	53043484	57344929	2	2
2_S1_C102	chr7	57594929	78997265	2	2
2_S1_C102	chr7	79247265	99384835	7	2
2_S1_C102	chr7	99634835	158953939	7	4
2_S1_C102	chr8	1	43464189	2	2
2_S1_C102	chr8	43714189	146232982	2	2
2_S1_C102	chr9	1	38455271	2	0
2_S1_C102	chr9	38705271	77484350	2	1
2_S1_C102	chr9	77734350	91201591	2	1
2_S1_C102	chr9	92318713	95194848	2	0
2_S1_C102	chr9	95444848	110089204	2	0
2_S1_C102	chr9	110339204	126253465	2	1
2_S1_C102	chr9	126503465	136798467	2	0
2_S1_C102	chr9	137048467	140652749	2	0
2_S1_C102	chr10	1	25935893	5	2
2_S1_C102	chr10	26185893	38238878	3	2
2_S1_C102	chr10	38488878	107406270	3	1
2_S1_C102	chr10	107656270	134971887	3	1
2_S1_C102	chr11	1	50467823	2	2
2_S1_C102	chr11	50717823	103641583	2	2
2_S1_C102	chr11	103891583	134714034	2	2
2_S1_C102	chr12	1	8895671	8	2
2_S1_C102	chr12	9145671	25168152	4	2
2_S1_C102	chr12	25418152	32876402	2	2
2_S1_C102	chr12	33126402	34541833	3	1
2_S1_C102	chr12	34791833	133124839	2	0
2_S1_C102	chr13	1	115048768	2	0
2_S1_C102	chr14	1	91377936	2	2
2_S1_C102	chr14	91627936	96629947	2	0
2_S1_C102	chr14	96879947	107118565	2	0
2_S1_C102	chr15	1	102279257	2	0
2_S1_C102	chr16	1	34866227	2	1
2_S1_C102	chr16	35116227	60796920	2	1
2_S1_C102	chr16	61046920	90104086	2	1
2_S1_C102	chr17	1	20917988	2	0
2_S1_C102	chr17	22037717	37744705	2	0
2_S1_C102	chr17	37994705	80950489	2	0
2_S1_C102	chr18	1	13869915	2	0
2_S1_C102	chr18	14119915	77797547	2	2
2_S1_C102	chr19	1	16309276	3	0
2_S1_C102	chr19	16559276	18965829	6	2
2_S1_C102	chr19	19215829	24113813	3	2
2_S1_C102	chr19	24363813	58800333	3	2
2_S1_C102	chr20	1	25388095	2	2
2_S1_C102	chr20	25638095	62119280	2	2
2_S1_C102	chr21	1	47879225	3	1
2_S1_C102	chr22	1	50727844	2	0
2_S1_C102	chrX	2589197	45662873	2	0
2_S1_C102	chrX	45912873	58100939	4	0
2_S1_C102	chrX	69769132	154938160	3	0
2_S1_C106	chr1	1	20033345	2	0
2_S1_C106	chr1	20283345	104371959	2	2
2_S1_C106	chr1	104621959	118054841	2	0
2_S1_C106	chr1	118304841	120291655	4	2
2_S1_C106	chr1	120541655	188974205	5	2
2_S1_C106	chr1	189224205	248234141	3	2
2_S1_C106	chr2	1	20566626	4	3
2_S1_C106	chr2	20816626	22517503	3	2
2_S1_C106	chr2	22767503	82241544	2	1
2_S1_C106	chr2	82491544	89074867	2	1
2_S1_C106	chr2	89324867	196111610	2	1
2_S1_C106	chr2	196361610	242637536	1	1
2_S1_C106	chr3	1	89999669	2	0
2_S1_C106	chr3	90249669	197339330	2	1
2_S1_C106	chr4	1	8680548	2	0
2_S1_C106	chr4	8930548	48806634	2	0
2_S1_C106	chr4	49056634	80783051	2	2
2_S1_C106	chr4	81033051	163584523	2	2
2_S1_C106	chr4	163834523	190845177	4	2
2_S1_C106	chr5	1	1482027	4	1
2_S1_C106	chr5	1732027	45951245	2	2
2_S1_C106	chr5	46201245	159987445	2	0
2_S1_C106	chr5	160237445	180599194	4	0
2_S1_C106	chr6	1	40753750	2	2
2_S1_C106	chr6	41003750	46943077	2	2
2_S1_C106	chr6	47193077	57484444	2	2
2_S1_C106	chr6	57734444	95211510	2	2
2_S1_C106	chr6	95461510	158711367	2	2
2_S1_C106	chr6	158961367	170483369	4	2
2_S1_C106	chr7	1	2566124	3	2
2_S1_C106	chr7	2816124	52793484	2	2
2_S1_C106	chr7	53043484	57344929	2	2
2_S1_C106	chr7	57594929	78997265	2	2
2_S1_C106	chr7	79247265	99384835	4	2
2_S1_C106	chr7	99634835	158953939	5	3
2_S1_C106	chr8	1	43464189	2	2
2_S1_C106	chr8	43714189	146232982	2	2
2_S1_C106	chr9	1	38455271	2	0
2_S1_C106	chr9	38705271	77484350	2	1
2_S1_C106	chr9	77734350	91201591	2	1
2_S1_C106	chr9	92318713	95194848	2	0
2_S1_C106	chr9	95444848	110089204	2	0
2_S1_C106	chr9	110339204	126253465	2	1
2_S1_C106	chr9	126503465	136798467	2	0
2_S1_C106	chr9	137048467	140652749	2	0
2_S1_C106	chr10	1	25935893	4	2
2_S1_C106	chr10	26185893	38238878	3	2
2_S1_C106	chr10	38488878	107406270	3	1
2_S1_C106	chr10	107656270	134971887	2	1
2_S1_C106	chr11	1	50467823	2	2
2_S1_C106	chr11	50717823	103641583	2	2
2_S1_C106	chr11	103891583	134714034	2	2
2_S1_C106	chr12	1	8895671	8	2
2_S1_C106	chr12	9145671	25168152	4	2
2_S1_C106	chr12	25418152	32876402	2	2
2_S1_C106	chr12	33126402	34541833	3	2
2_S1_C106	chr12	34791833	133124839	2	0
2_S1_C106	chr13	1	115048768	2	0
2_S1_C106	chr14	1	91377936	2	2
2_S1_C106	chr14	91627936	96629947	2	0
2_S1_C106	chr14	96879947	107118565	2	0
2_S1_C106	chr15	1	102279257	2	0
2_S1_C106	chr16	1	34866227	2	1
2_S1_C106	chr16	35116227	60796920	2	1
2_S1_C106	chr16	61046920	90104086	2	1
2_S1_C106	chr17	1	20917988	2	0
2_S1_C106	chr17	22037717	37744705	2	0
2_S1_C106	chr17	37994705	80950489	2	0
2_S1_C106	chr18	1	13869915	2	0
2_S1_C106	chr18	14119915	77797547	2	2
2_S1_C106	chr19	1	16309276	3	0
2_S1_C106	chr19	16559276	18965829	5	2
2_S1_C106	chr19	19215829	24113813	2	2
2_S1_C106	chr19	24363813	58800333	2	2
2_S1_C106	chr20	1	25388095	2	2
2_S1_C106	chr20	25638095	62119280	2	2
2_S1_C106	chr21	1	47879225	2	1
2_S1_C106	chr22	1	50727844	2	0
2_S1_C106	chrX	2589197	45662873	2	0
2_S1_C106	chrX	45912873	58100939	2	0
2_S1_C106	chrX	69769132	154938160	2	0
2_S1_C107	chr1	1	20033345	2	0
2_S1_C107	chr1	20283345	104371959	2	2
2_S1_C107	chr1	104621959	118054841	2	0
2_S1_C107	chr1	118304841	120291655	3	3
2_S1_C107	chr1	120541655	188974205	5	2
2_S1_C107	chr1	189224205	248234141	3	2
2_S1_C107	chr2	1	20566626	4	3
2_S1_C107	chr2	20816626	22517503	3	2
2_S1_C107	chr2	22767503	82241544	2	1
2_S1_C107	chr2	82491544	89074867	2	1
2_S1_C107	chr2	89324867	196111610	2	1
2_S1_C107	chr2	196361610	242637536	1	1
2_S1_C107	chr3	1	89999669	2	0
2_S1_C107	chr3	90249669	197339330	2	1
2_S1_C107	chr4	1	8680548	2	0
2_S1_C107	chr4	8930548	48806634	2	0
2_S1_C107	chr4	49056634	80783051	2	2
2_S1_C107	chr4	81033051	163584523	2	2
2_S1_C107	chr4	163834523	190845177	4	2
2_S1_C107	chr5	1	1482027	3	2
2_S1_C107	chr5	1732027	45951245	2	2
2_S1_C107	chr5	46201245	159987445	2	0
2_S1_C107	chr5	160237445	180599194	4	0
2_S1_C107	chr6	1	40753750	2	2
2_S1_C107	chr6	41003750	46943077	2	2
2_S1_C107	chr6	47193077	57484444	2	2
2_S1_C107	chr6	57734444	95211510	2	2
2_S1_C107	chr6	95461510	158711367	2	2
2_S1_C107	chr6	158961367	170483369	4	2
2_S1_C107	chr7	1	2566124	3	2
2_S1_C107	chr7	2816124	52793484	2	2
2_S1_C107	chr7	53043484	57344929	2	2
2_S1_C107	chr7	57594929	78997265	2	2
2_S1_C107	chr7	79247265	99384835	4	2
2_S1_C107	chr7	99634835	158953939	5	3
2_S1_C107	chr8	1	43464189	2	2
2_S1_C107	chr8	43714189	146232982	2	2
2_S1_C107	chr9	1	38455271	2	0
2_S1_C107	chr9	38705271	77484350	2	1
2_S1_C107	chr9	77734350	91201591	2	1
2_S1_C107	chr9	92318713	95194848	2	0
2_S1_C107	chr9	95444848	110089204	2	0
2_S1_C107	chr9	110339204	126253465	2	1
2_S1_C107	chr9	126503465	136798467	2	0
2_S1_C107	chr9	137048467	140652749	2	0
2_S1_C107	chr10	1	25935893	4	2
2_S1_C107	chr10	26185893	38238878	3	2
2_S1_C107	chr10	38488878	107406270	3	1
2_S1_C107	chr10	107656270	134971887	2	1
2_S1_C107	chr11	1	50467823	2	2
2_S1_C107	chr11	50717823	103641583	2	2
2_S1_C107	chr11	103891583	134714034	2	2
2_S1_C107	chr12	1	8895671	8	2
2_S1_C107	chr12	9145671	25168152	4	2
2_S1_C107	chr12	25418152	32876402	2	2
2_S1_C107	chr12	33126402	34541833	3	1
2_S1_C107	chr12	34791833	133124839	2	0
2_S1_C107	chr13	1	115048768	2	0
2_S1_C107	chr14	1	91377936	2	2
2_S1_C107	chr14	91627936	96629947	2	0
2_S1_C107	chr14	96879947	107118565	2	0
2_S1_C107	chr15	1	102279257	2	0
2_S1_C107	chr16	1	34866227	2	1
2_S1_C107	chr16	35116227	60796920	2	1
2_S1_C107	chr16	61046920	90104086	2	1
2_S1_C107	chr17	1	20917988	2	0
2_S1_C107	chr17	22037717	37744705	2	0
2_S1_C107	chr17	37994705	80950489	2	0
2_S1_C107	chr18	1	13869915	2	0
2_S1_C107	chr18	14119915	77797547	2	2
2_S1_C107	chr19	1	16309276	2	0
2_S1_C107	chr19	16559276	18965829	5	2
2_S1_C107	chr19	19215829	24113813	3	2
2_S1_C107	chr19	24363813	58800333	2	2
2_S1_C107	chr20	1	25388095	2	2
2_S1_C107	chr20	25638095	62119280	2	2
2_S1_C107	chr21	1	47879225	2	1
2_S1_C107	chr22	1	50727844	2	0
2_S1_C107	chrX	2589197	45662873	2	0
2_S1_C107	chrX	45912873	58100939	2	0
2_S1_C107	chrX	69769132	154938160	2	0
2_S1_C109	chr1	1	20033345	1	0
2_S1_C109	chr1	20283345	104371959	3	2
2_S1_C109	chr1	104621959	118054841	1	0
2_S1_C109	chr1	118304841	120291655	4	2
2_S1_C109	chr1	120541655	188974205	4	2
2_S1_C109	chr1	189224205	248234141	2	2
2_S1_C109	chr2	1	20566626	4	4
2_S1_C109	chr2	20816626	22517503	4	2
2_S1_C109	chr2	22767503	82241544	2	2
2_S1_C109	chr2	82491544	89074867	2	2
2_S1_C109	chr2	89324867	196111610	2	2
2_S1_C109	chr2	196361610	242637536	2	1
2_S1_C109	chr3	1	89999669	2	0
2_S1_C109	chr3	90249669	197339330	2	2
2_S1_C109	chr4	1	8680548	2	0
2_S1_C109	chr4	8930548	48806634	2	0
2_S1_C109	chr4	49056634	80783051	2	1
2_S1_C109	chr4	81033051	163584523	2	1
2_S1_C109	chr4	163834523	190845177	3	2
2_S1_C109	chr5	1	1482027	3	2
2_S1_C109	chr5	1732027	45951245	2	2
2_S1_C109	chr5	46201245	159987445	2	0
2_S1_C109	chr5	160237445	180599194	4	0
2_S1_C109	chr6	1	40753750	3	2
2_S1_C109	chr6	41003750	46943077	2	2
2_S1_C109	chr6	47193077	57484444	2	2
2_S1_C109	chr6	57734444	95211510	2	2
2_S1_C109	chr6	95461510	158711367	2	2
2_S1_C109	chr6	158961367	170483369	3	2
2_S1_C109	chr7	1	2566124	3	2
2_S1_C109	chr7	2816124	52793484	2	2
2_S1_C109	chr7	53043484	57344929	3	1
2_S1_C109	chr7	57594929	78997265	2	2
2_S1_C109	chr7	79247265	99384835	4	2
2_S1_C109	chr7	99634835	158953939	5	4
2_S1_C109	chr8	1	43464189	2	2
2_S1_C109	chr8	43714189	146232982	2	2
2_S1_C109	chr9	1	38455271	2	0
2_S1_C109	chr9	38705271	77484350	2	1
2_S1_C109	chr9	77734350	91201591	2	1
2_S1_C109	chr9	92318713	95194848	2	0
2_S1_C109	chr9	95444848	110089204	2	0
2_S1_C109	chr9	110339204	126253465	2	1
2_S1_C109	chr9	126503465	136798467	2	0
2_S1_C109	chr9	137048467	140652749	2	0
2_S1_C109	chr10	1	25935893	4	2
2_S1_C109	chr10	26185893	38238878	3	2
2_S1_C109	chr10	38488878	107406270	3	1
2_S1_C109	chr10	107656270	134971887	3	1
2_S1_C109	chr11	1	50467823	2	2
2_S1_C109	chr11	50717823	103641583	3	2
2_S1_C109	chr11	103891583	134714034	3	2
2_S1_C109	chr12	1	8895671	15	2
2_S1_C109	chr12	9145671	25168152	7	2
2_S1_C109	chr12	25418152	32876402	4	2
2_S1_C109	chr12	33126402	34541833	3	2
2_S1_C109	chr12	34791833	133124839	2	0
2_S1_C109	chr13	1	115048768	2	0
2_S1_C109	chr14	1	91377936	2	2
2_S1_C109	chr14	91627936	96629947	2	0
2_S1_C109	chr14	96879947	107118565	2	0
2_S1_C109	chr15	1	102279257	2	0
2_S1_C109	chr16	1	34866227	2	1
2_S1_C109	chr16	35116227	60796920	2	1
2_S1_C109	chr16	61046920	90104086	2	1
2_S1_C109	chr17	1	20917988	2	0
2_S1_C109	chr17	22037717	37744705	2	0
2_S1_C109	chr17	37994705	80950489	2	0
2_S1_C109	chr18	1	13869915	2	0
2_S1_C109	chr18	14119915	77797547	2	2
2_S1_C109	chr19	1	16309276	2	0
2_S1_C109	chr19	16559276	18965829	5	2
2_S1_C109	chr19	19215829	24113813	2	2
2_S1_C109	chr19	24363813	58800333	2	2
2_S1_C109	chr20	1	25388095	2	2
2_S1_C109	chr20	25638095	62119280	2	2
2_S1_C109	chr21	1	47879225	2	1
2_S1_C109	chr22	1	50727844	2	0
2_S1_C109	chrX	2589197	45662873	2	0
2_S1_C109	chrX	45912873	58100939	2	0
2_S1_C109	chrX	69769132	154938160	2	0
2_S1_C112	chr1	1	20033345	2	0
2_S1_C112	chr1	20283345	104371959	2	2
2_S1_C112	chr1	104621959	118054841	2	0
2_S1_C112	chr1	118304841	120291655	4	2
2_S1_C112	chr1	120541655	188974205	4	2
2_S1_C112	chr1	189224205	248234141	2	2
2_S1_C112	chr2	1	20566626	4	3
2_S1_C112	chr2	20816626	22517503	4	1
2_S1_C112	chr2	22767503	82241544	2	1
2_S1_C112	chr2	82491544	89074867	2	1
2_S1_C112	chr2	89324867	196111610	2	1
2_S1_C112	chr2	196361610	242637536	2	1
2_S1_C112	chr3	1	89999669	2	0
2_S1_C112	chr3	90249669	197339330	2	2
2_S1_C112	chr4	1	8680548	2	0
2_S1_C112	chr4	8930548	48806634	2	0
2_S1_C112	chr4	49056634	80783051	2	2
2_S1_C112	chr4	81033051	163584523	2	2
2_S1_C112	chr4	163834523	190845177	4	2
2_S1_C112	chr5	1	1482027	3	2
2_S1_C112	chr5	1732027	45951245	2	2
2_S1_C112	chr5	46201245	159987445	2	0
2_S1_C112	chr5	160237445	180599194	4	0
2_S1_C112	chr6	1	40753750	1	1
2_S1_C112	chr6	41003750	46943077	1	1
2_S1_C112	chr6	47193077	57484444	1	1
2_S1_C112	chr6	57734444	95211510	3	2
2_S1_C112	chr6	95461510	158711367	3	2
2_S1_C112	chr6	158961367	170483369	5	2
2_S1_C112	chr7	1	2566124	2	1
2_S1_C112	chr7	2816124	52793484	2	1
2_S1_C112	chr7	53043484	57344929	2	1
2_S1_C112	chr7	57594929	78997265	2	2
2_S1_C112	chr7	79247265	99384835	4	2
2_S1_C112	chr7	99634835	158953939	5	3
2_S1_C112	chr8	1	43464189	3	2
2_S1_C112	chr8	43714189	146232982	2	1
2_S1_C112	chr9	1	38455271	2	0
2_S1_C112	chr9	38705271	77484350	2	1
2_S1_C112	chr9	77734350	91201591	2	1
2_S1_C112	chr9	92318713	95194848	2	0
2_S1_C112	chr9	95444848	110089204	2	0
2_S1_C112	chr9	110339204	126253465	2	1
2_S1_C112	chr9	126503465	136798467	2	0
2_S1_C112	chr9	137048467	140652749	2	0
2_S1_C112	chr10	1	25935893	4	3
2_S1_C112	chr10	26185893	38238878	4	3
2_S1_C112	chr10	38488878	107406270	3	1
2_S1_C112	chr10	107656270	134971887	2	1
2_S1_C112	chr11	1	50467823	2	2
2_S1_C112	chr11	50717823	103641583	2	2
2_S1_C112	chr11	103891583	134714034	2	2
2_S1_C112	chr12	1	8895671	8	2
2_S1_C112	chr12	9145671	25168152	4	2
2_S1_C112	chr12	25418152	32876402	2	2
2_S1_C112	chr12	33126402	34541833	3	2
2_S1_C112	chr12	34791833	133124839	2	0
2_S1_C112	chr13	1	115048768	2	0
2_S1_C112	chr14	1	91377936	2	2
2_S1_C112	chr14	91627936	96629947	2	0
2_S1_C112	chr14	96879947	107118565	2	0
2_S1_C112	chr15	1	102279257	2	0
2_S1_C112	chr16	1	34866227	2	1
2_S1_C112	chr16	35116227	60796920	2	1
2_S1_C112	chr16	61046920	90104086	2	1
2_S1_C112	chr17	1	20917988	2	0
2_S1_C112	chr17	22037717	37744705	2	0
2_S1_C112	chr17	37994705	80950489	2	0
2_S1_C112	chr18	1	13869915	2	0
2_S1_C112	chr18	14119915	77797547	2	2
2_S1_C112	chr19	1	16309276	3	0
2_S1_C112	chr19	16559276	18965829	4	3
2_S1_C112	chr19	19215829	24113813	3	2
2_S1_C112	chr19	24363813	58800333	2	2
2_S1_C112	chr20	1	25388095	2	2
2_S1_C112	chr20	25638095	62119280	2	2
2_S1_C112	chr21	1	47879225	2	1
2_S1_C112	chr22	1	50727844	2	0
2_S1_C112	chrX	2589197	45662873	2	0
2_S1_C112	chrX	45912873	58100939	3	0
2_S1_C112	chrX	69769132	154938160	2	0
2_S1_C113	chr1	1	20033345	2	0
2_S1_C113	chr1	20283345	104371959	2	2
2_S1_C113	chr1	104621959	118054841	2	0
2_S1_C113	chr1	118304841	120291655	5	1
2_S1_C113	chr1	120541655	188974205	5	2
2_S1_C113	chr1	189224205	248234141	3	2
2_S1_C113	chr2	1	20566626	4	4
2_S1_C113	chr2	20816626	22517503	4	2
2_S1_C113	chr2	22767503	82241544	2	2
2_S1_C113	chr2	82491544	89074867	2	2
2_S1_C113	chr2	89324867	196111610	2	2
2_S1_C113	chr2	196361610	242637536	2	1
2_S1_C113	chr3	1	89999669	2	0
2_S1_C113	chr3	90249669	197339330	2	2
2_S1_C113	chr4	1	8680548	1	1
2_S1_C113	chr4	8930548	48806634	2	0
2_S1_C113	chr4	49056634	80783051	2	1
2_S1_C113	chr4	81033051	163584523	2	1
2_S1_C113	chr4	163834523	190845177	3	2
2_S1_C113	chr5	1	1482027	3	2
2_S1_C113	chr5	1732027	45951245	2	2
2_S1_C113	chr5	46201245	159987445	2	0
2_S1_C113	chr5	160237445	180599194	4	0
2_S1_C113	chr6	1	40753750	2	2
2_S1_C113	chr6	41003750	46943077	2	2
2_S1_C113	chr6	47193077	57484444	2	2
2_S1_C113	chr6	57734444	95211510	2	2
